"dutch","english","example","category"
"aanvullend","additional","Aanvullende vragen.","Buitenland"
"betreffend","relevant / in question","Het betreffende toestel.","Buitenland"
"gecharterd","chartered","Een gecharterd vliegtuig.","Buitenland"
"geschat","estimated","Het geschatte verbruik.","Buitenland"
"klimaatneutraal","climate-neutral","In 2040 klimaatneutraal.","Buitenland"
"kosteneffectief","cost-effective","Wat kosteneffectief is.","Buitenland"
"toernooigerelateerd","tournament-related","Toernooigerelateerde verplichtingen.","Buitenland"
"Zwitsers","Swiss","De Zwitserse voorzitter.","Buitenland"
"fysiek","physical","Fysiek sterk.","Politiek"
"glashelder","crystal-clear","De les is glashelder.","Politiek"
"komend","coming / upcoming","De komende jaren.","Politiek"
"onbemenst","unmanned","Een onbemenst systeem.","Politiek"
"operationeel","operational","Operationele effecten.","Politiek"
"technologisch","technological","Technologische vooruitgang.","Politiek"
