"dutch","english","article","plural","example"
"nuance","nuance","de","nuances","De spreker bracht veel nuance in zijn betoog."
"tendens","tendency","de","tendensen","Er is een duidelijke tendens richting thuiswerken."
"paradox","paradox","de","paradoxen","Deze paradox houdt filosofen al eeuwen bezig."
"dilemma","dilemma","het","dilemma's","Zij stond voor een moeilijk moreel dilemma."
"perspectief","perspective","het","perspectieven","Dit boek biedt een verfrissend perspectief."
"context","context","de","contexten","Je moet die woorden in hun context lezen."
"stelling","proposition","de","stellingen","Hij verdedigde zijn stelling met sterke argumenten."
"argumentatie","argumentation","de","argumentaties","De argumentatie in het essay was overtuigend."
"redenering","reasoning","de","redeneringen","Zijn redenering bevat een logische fout."
"veronderstelling","assumption","de","veronderstellingen","De theorie berust op een twijfelachtige veronderstelling."
"aanname","assumption","de","aannames","Het model gaat uit van enkele aannames."
"implicatie","implication","de","implicaties","De implicaties van dit besluit zijn groot."
"discrepantie","discrepancy","de","discrepanties","Er bestaat een discrepantie tussen woord en daad."
"tegenstelling","contrast","de","tegenstellingen","De tegenstelling tussen arm en rijk groeit."
"wisselwerking","interaction","de","wisselwerkingen","Er is een sterke wisselwerking tussen beide factoren."
"drijfveer","motive","de","drijfveren","Geld was niet zijn voornaamste drijfveer."
"grondslag","foundation","de","grondslagen","Dit principe vormt de grondslag van de wet."
"uitgangspunt","premise","het","uitgangspunten","Vertrouwen is het uitgangspunt van onze samenwerking."
"kanttekening","critical note","de","kanttekeningen","Ik wil hierbij een kleine kanttekening plaatsen."
"nalatenschap","legacy","de","nalatenschappen","Zijn nalatenschap blijft generaties lang bestaan."
"erfenis","inheritance","de","erfenissen","De erfenis werd eerlijk onder de kinderen verdeeld."
"ambacht","craft","het","ambachten","Het oude ambacht dreigt langzaam te verdwijnen."
"deskundige","expert","de","deskundigen","De deskundige gaf een helder advies."
"autoriteit","authority","de","autoriteiten","De autoriteiten onderzoeken de zaak grondig."
"bevoegdheid","competence","de","bevoegdheden","De rechter heeft de bevoegdheid om te beslissen."
"jurisdictie","jurisdiction","de","jurisdicties","Deze zaak valt buiten onze jurisdictie."
"wetenschap","science","de","wetenschappen","De wetenschap boekt voortdurend nieuwe vooruitgang."
"discipline","discipline","de","disciplines","Dit onderzoek combineert verschillende wetenschappelijke disciplines."
"methodiek","methodology","de","methodieken","De gekozen methodiek bleek zeer effectief."
"benadering","approach","de","benaderingen","Zijn praktische benadering loste het probleem op."
"invalshoek","angle","de","invalshoeken","Ze bekeek het vraagstuk vanuit een nieuwe invalshoek."
"strekking","purport","de","strekkingen","De strekking van zijn betoog was duidelijk."
"waarborg","safeguard","de","waarborgen","Het contract biedt voldoende juridische waarborgen."
"geschil","dispute","het","geschillen","Het geschil werd buiten de rechtbank opgelost."
"bemiddeling","mediation","de","bemiddelingen","Door bemiddeling kwamen beide partijen tot overeenstemming."
"schikking","settlement","de","schikkingen","De partijen bereikten een schikking voor de zitting."
"beraadslaging","deliberation","de","beraadslagingen","Na lange beraadslaging nam de raad een besluit."
"toetsing","review","de","toetsingen","De toetsing van het beleid vindt jaarlijks plaats."
"afweging","consideration","de","afwegingen","Na zorgvuldige afweging koos hij voor de baan."
"ijkpunt","benchmark","het","ijkpunten","Dit rapport geldt als belangrijk ijkpunt."
